Level,Date and Time,Source,Event ID,Task Category
Warning,20/05/2026 21:31:47,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,20/05/2026 21:31:47,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,20/05/2026 21:31:47,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,20/05/2026 21:30:11,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{F87B28F1-DA9A-4F35-8EC0-800EFCF26B83}
 and APPID 
{0868DC9B-D9A2-4F64-9362-133CEA201299}
 to the user NT AUTHORITY\NETWORK SERVICE SID (S-1-5-20) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,20/05/2026 21:30:04,Microsoft-Windows-Winlogon,7001,(1101),User Log-on Notification for Customer Experience Improvement Program
Information,20/05/2026 21:29:56,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Information,20/05/2026 21:29:53,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,20/05/2026 21:29:53,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,20/05/2026 21:29:53,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,20/05/2026 21:29:53,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2026‎-‎05‎-‎20T20:29:53.817000000Z from ‎2026‎-‎05‎-‎20T21:29:52.783796400Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\VBoxService.exe' (PID 1292)."
Information,20/05/2026 21:29:53,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -60.
Information,20/05/2026 22:29:52,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2091‎-‎04‎-‎16T00:55:03.000000000Z) has successfully loaded and registered with Filter Manager."
